Artists,Recognized by SD?,Tags
Katsushika Hokusai,Yes,ukiyo-e
Katsuyuki Nishijima,Yes,"ukiyo-e, scene"
Kehinde Wiley,Yes,"colorful, portrait"
Keith Parkinson,No,"detailed, fantasy, scene"
Kengo Kuma,Yes,"architecture, angular"
Kevin Sloan,Yes,"birds, nature, magic realism"
Kitagawa Utamaro,Yes,ukiyo-e
Kousuke Kurose,Yes,"anime, character, manga"
Koyoharu Gotouge,Yes,"character, colorful, manga"
Kunisada,Yes,ukiyo-e
Larry Rivers,Yes,"figurativism, painting, pop art"
Lawren Harris,Yes,"clean, landscape"
Lawrence Alma-Tadema,Yes,"scene, romanticism"
Lee Madgwick,Yes,"dark, surrealism, landscape"
Leonardo Da Vinci,Yes,"renaissance, scene"
Leonid Afremov,Yes,"vibrant, stained glass, impressionism"
Lilia Alvarado,Yes,"photography, scene, portrait"
liquidcoco李奎德,Yes,vibrant
Louis Anquetin,Yes,"impressionism, portrait, scene"
Louis Comfort Tiffany,Yes,"stained glass, art nouveau"
Louise Dahl-Wolfe,Yes,"photography, scene, character"
Lovis Corinth,Yes,"impressionism, expressionism"
Lucas Cranach the Elder,Yes,"renaissance, portrait"
Lucian Freud,Yes,"portrait, expressionism, realism"
Luis Royo,Yes,"dark, fantasy, messy, nudity, portrait, sci-fi"
M.C. Escher,Yes,"angular, high contrast, surrealism"
Maciej Rebisz,No,
Magali Villeneuve,Yes,"character, fantacy"
Makoto Shinkai,Yes,"landscape, anime, digital"
Malcolm Liepke,Yes,"high contrast, character"
Man Ray,Yes,"monochromatic, high contrast"
Mandy Disher,Yes,"photography, flowers"
Marc Chagall,Yes,"fauvism, impressionism, surrealism"
Marc Simonetti,Yes,"landscape, digital, fantasy, dark"
Marianne North,Yes,"nature, detailed"
Marina Abramović,Yes,"scene, photography"
Mariusz Lewandowski,Yes,"dark, horror, landscape, surrealism"
Mark Arian,Yes,"character, realism"
Mark Keathley,Yes,"landscape, magic realism"
Mark Ryden,Yes,"character, whimsical, dark, scene"
Mark Seliger,Yes,"monochromatic, photography"
Markus Vogt,No,
Martin Ansin,Yes,"detailed, high contrast"
Martin Johnson Heade,Yes,"landscape, painting"
Mary Anning,Yes,"scene, landscape"
Mary Cassatt,Yes,"impressionism, character, scene"
Mary Jane Ansell,Yes,"portrait, still life, photorealism"
Mattias Adolfsson,Yes,"detailed, whimsical, watercolor"
Max Bedulenko,No,
Max Ernst,Yes,"surrealism, expressionism"
Maxfield Parrish,Yes,"cloudscape, vibrant, art nouveau"
